Stadt;Bundesland;aRC_Time1;eRC_Time1;reRCt1;source1;aRC_Time2;eRC_Time2;reRCt2;source2;aRC_Time3;eRC_Time3;reRCt3;source3;;;
Altbach;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Asperg;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Backnang;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Bad Bellingen;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Bad Krozingen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Bad Säckingen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Badenweiler;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Baienfurt;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;;;;NA;;;
Balgheim;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Bietigheim-Bissingen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
